 Vd,Vg1,Vg2,Vg3,Vg4,Vg5,Vg6,Vg7,Vg8,Vg9,Vg10,Vg11
0,-5.85E-12,-3.20E-13,-2.40E-12,-3.72E-12,-5.64E-12,-7.82E-12,-2.41E-12,-4.28E-12,1.61E-12,-7.95E-12,-1.12E-11
0.037,5.87E-10,6.02E-10,6.22E-10,6.40E-10,6.76E-10,7.03E-10,7.30E-10,7.67E-10,8.24E-10,8.84E-10,8.93E-10
0.075,1.09E-09,1.10E-09,1.14E-09,1.20E-09,1.26E-09,1.33E-09,1.38E-09,1.45E-09,1.55E-09,1.60E-09,1.68E-09
0.113,1.57E-09,1.58E-09,1.64E-09,1.71E-09,1.80E-09,1.88E-09,1.98E-09,2.08E-09,2.23E-09,2.31E-09,2.47E-09
0.15,1.98E-09,1.98E-09,2.06E-09,2.17E-09,2.27E-09,2.39E-09,2.51E-09,2.64E-09,2.84E-09,2.99E-09,3.17E-09
0.187,2.36E-09,2.37E-09,2.47E-09,2.59E-09,2.72E-09,2.86E-09,3.00E-09,3.16E-09,3.39E-09,3.59E-09,3.85E-09
0.225,2.69E-09,2.69E-09,2.80E-09,2.96E-09,3.11E-09,3.28E-09,3.44E-09,3.62E-09,3.89E-09,4.13E-09,4.41E-09
0.263,3.01E-09,3.00E-09,3.13E-09,3.29E-09,3.48E-09,3.66E-09,3.85E-09,4.06E-09,4.35E-09,4.64E-09,4.99E-09
0.3,3.29E-09,3.27E-09,3.43E-09,3.61E-09,3.80E-09,4.01E-09,4.21E-09,4.46E-09,4.78E-09,5.06E-09,5.48E-09
0.338,3.53E-09,3.54E-09,3.69E-09,3.88E-09,4.11E-09,4.32E-09,4.55E-09,4.80E-09,5.15E-09,5.47E-09,5.94E-09
0.375,3.78E-09,3.76E-09,3.94E-09,4.15E-09,4.36E-09,4.62E-09,4.86E-09,5.13E-09,5.52E-09,5.88E-09,6.37E-09
0.412,3.99E-09,3.98E-09,4.16E-09,4.38E-09,4.63E-09,4.88E-09,5.15E-09,5.44E-09,5.82E-09,6.26E-09,6.77E-09
0.45,4.20E-09,4.18E-09,4.38E-09,4.61E-09,4.86E-09,5.14E-09,5.40E-09,5.70E-09,6.14E-09,6.58E-09,7.10E-09
0.487,4.38E-09,4.36E-09,4.56E-09,4.81E-09,5.07E-09,5.37E-09,5.65E-09,5.97E-09,6.41E-09,6.88E-09,7.46E-09
0.525,4.56E-09,4.54E-09,4.74E-09,5.01E-09,5.27E-09,5.58E-09,5.86E-09,6.20E-09,6.68E-09,7.15E-09,7.77E-09
0.562,4.72E-09,4.69E-09,4.91E-09,5.18E-09,5.47E-09,5.78E-09,6.08E-09,6.43E-09,6.92E-09,7.39E-09,8.08E-09
0.6,4.87E-09,4.86E-09,5.06E-09,5.35E-09,5.63E-09,5.97E-09,6.27E-09,6.62E-09,7.14E-09,7.65E-09,8.34E-09
0.637,5.02E-09,4.98E-09,5.21E-09,5.50E-09,5.81E-09,6.14E-09,6.45E-09,6.83E-09,7.36E-09,7.88E-09,8.61E-09
0.675,5.15E-09,5.11E-09,5.36E-09,5.65E-09,5.95E-09,6.30E-09,6.62E-09,7.00E-09,7.56E-09,8.09E-09,8.83E-09
0.713,5.27E-09,5.24E-09,5.47E-09,5.79E-09,6.10E-09,6.46E-09,6.79E-09,7.17E-09,7.75E-09,8.30E-09,9.07E-09
